state,year,id,filename,special,district
AL,1819,al.congress.1819,al.congress.1819.xml,FALSE,NA
AL,1821,al.congress.1821,al.congress.1821.xml,FALSE,NA
AL,1823,al.uscongress.1.1823,al.uscongress.1.1823.xml,FALSE,1
AL,1823,al.uscongress.2.1823,al.uscongress.2.1823.xml,FALSE,2
AL,1823,al.uscongress.3.1823,al.uscongress.3.1823.xml,FALSE,3
AL,1825,al.uscongress.1.1825,al.uscongress.1.1825.xml,FALSE,1
AL,1825,al.uscongress.2.1825,al.uscongress.2.1825.xml,FALSE,2
AL,1825,al.uscongress.3.1825,al.uscongress.3.1825.xml,FALSE,3
CT,1790,ct.congress.1790,ct.congress.1790.xml,FALSE,NA
CT,1790,ct.nomination.congress.1790,ct.nomination.congress.1790.xml,FALSE,NA
CT,1790,ct.special.congress.1790,ct.special.congress.1790.xml,TRUE,NA
CT,1792,ct.congress.1792,ct.congress.1792.xml,FALSE,NA
CT,1793,ct.special2.congress.1793,ct.special2.congress.1793.xml,TRUE,2
CT,1793,ct.nomination.congress.1793,ct.nomination.congress.1793.xml,FALSE,NA
CT,1793,ct.special.congress.1793,ct.special.congress.1793.xml,TRUE,NA
CT,1794,ct.congress.1794,ct.congress.1794.xml,FALSE,NA
CT,1794,ct.nomination.congress.1794,ct.nomination.congress.1794.xml,FALSE,NA
CT,1795,ct.special.congress.1795,ct.special.congress.1795.xml,TRUE,NA
CT,1796,ct.congress.1796,ct.congress.1796.xml,FALSE,NA
CT,1797,ct.nomination.congress.1797,ct.nomination.congress.1797.xml,FALSE,NA
CT,1797,ct.special.congress.1797,ct.special.congress.1797.xml,TRUE,NA
CT,1798,ct.congress.1798,ct.congress.1798.xml,FALSE,NA
CT,1798,ct.nomination.congress.1798,ct.nomination.congress.1798.xml,FALSE,NA
CT,1799,ct.special.congress.1799,ct.special.congress.1799.xml,TRUE,NA
CT,1800,ct.congress.1800,ct.congress.1800.xml,FALSE,NA
CT,1800,ct.nomination.congress.1800,ct.nomination.congress.1800.xml,FALSE,NA
CT,1800,ct.special.congress.1800,ct.special.congress.1800.xml,TRUE,NA
CT,1801,ct.uscongress.special.1.1801,ct.uscongress.special.1.1801.xml,TRUE,1
CT,1801,ct.uscongress.special.1801,ct.uscongress.special.1801.xml,TRUE,NA
CT,1802,ct.congress.1802,ct.congress.1802.xml,FALSE,NA
CT,1802,ct.nomination.congress.1802,ct.nomination.congress.1802.xml,FALSE,NA
CT,1803,ct.uscongress.1803,ct.uscongress.1803.xml,FALSE,NA
CT,1804,ct.congress.1804,ct.congress.1804.xml,FALSE,NA
CT,1804,ct.nomination.congress.1804,ct.nomination.congress.1804.xml,FALSE,NA
CT,1805,ct.congress.special.1805,ct.congress.special.1805.xml,TRUE,NA
CT,1806,ct.congress.1806,ct.congress.1806.xml,FALSE,NA
CT,1806,ct.congress.special.1806,ct.congress.special.1806.xml,TRUE,NA
CT,1806,ct.nomination.congress.1806,ct.nomination.congress.1806.xml,FALSE,NA
CT,1808,ct.congress.1808,ct.congress.1808.xml,FALSE,NA
CT,1808,ct.uscongress.1808,ct.uscongress.1808.xml,FALSE,NA
CT,1810,ct.congress.1810,ct.congress.1810.xml,FALSE,NA
CT,1810,ct.special.congress.1810,ct.special.congress.1810.xml,TRUE,NA
CT,1810,ct.uscongress.nomination.1810,ct.uscongress.nomination.1810.xml,FALSE,NA
CT,1812,ct.congress.1812,ct.congress.1812.xml,FALSE,NA
CT,1812,ct.nomination.congress.1812,ct.nomination.congress.1812.xml,FALSE,NA
CT,1814,ct.congress.1814,ct.congress.1814.xml,FALSE,NA
CT,1814,ct.nomination.congress.1814,ct.nomination.congress.1814.xml,FALSE,NA
CT,1816,ct.congress.1816,ct.congress.1816.xml,FALSE,NA
CT,1816,ct.nomination.congress.1816,ct.nomination.congress.1816.xml,FALSE,NA
CT,1817,ct.special.congress.1817,ct.special.congress.1817.xml,TRUE,NA
CT,1818,ct.congress.1818,ct.congress.1818.xml,FALSE,NA
CT,1818,ct.nomination.congress.1818,ct.nomination.congress.1818.xml,FALSE,NA
CT,1818,ct.special.congress.1818,ct.special.congress.1818.xml,TRUE,NA
CT,1821,ct.uscongress.1821,ct.uscongress.1821.xml,FALSE,NA
CT,1823,ct.uscongress.1823,ct.uscongress.1823.xml,FALSE,NA
CT,1825,ct.uscongress.1825,ct.uscongress.1825.xml,FALSE,NA
DE,1789,de.uscongress.1789,de.uscongress.1789.xml,FALSE,NA
DE,1790,de.uscongress.1790,de.uscongress.1790.xml,FALSE,NA
DE,1792,de.uscongress.1792,de.uscongress.1792.xml,FALSE,NA
DE,1794,de.uscongress.1794,de.uscongress.1794.xml,FALSE,NA
DE,1796,de.uscongress.1796,de.uscongress.1796.xml,FALSE,NA
DE,1798,de.uscongress.1798,de.uscongress.1798.xml,FALSE,NA
DE,1800,de.uscongress.1800,de.uscongress.1800.xml,FALSE,NA
DE,1802,de.uscongress.1802,de.uscongress.1802.xml,FALSE,NA
DE,1804,de.uscongress.1804,de.uscongress.1804.xml,FALSE,NA
DE,1805,de.uscongress.1805,de.uscongress.1805.xml,FALSE,NA
DE,1806,de.uscongress.1806,de.uscongress.1806.xml,FALSE,NA
DE,1807,de.uscongress.1807,de.uscongress.1807.xml,FALSE,NA
DE,1808,de.uscongress.1808,de.uscongress.1808.xml,FALSE,NA
DE,1810,de.uscongress.1810,de.uscongress.1810.xml,FALSE,NA
DE,1812,de.uscongress.1812,de.uscongress.1812.xml,FALSE,NA
DE,1814,de.uscongress.1814,de.uscongress.1814.xml,FALSE,NA
DE,1816,de.uscongress.1816,de.uscongress.1816.xml,FALSE,NA
DE,1818,de.uscongress.1818,de.uscongress.1818.xml,FALSE,NA
DE,1820,de.uscongress.1820,de.uscongress.1820.xml,FALSE,NA
DE,1822,de.uscongress.1822,de.uscongress.1822.xml,FALSE,NA
DE,1822,de.uscongressspecial.1822,de.uscongressspecial.1822.xml,TRUE,NA
DE,1824,de.uscongress.1824,de.uscongress.1824.xml,FALSE,NA
GA,1789,ga.uscongress.lowerdistrict.1789,ga.uscongress.lowerdistrict.1789.xml,FALSE,NA
GA,1789,ga.uscongress.middledistrict.1789,ga.uscongress.middledistrict.1789.xml,FALSE,NA
GA,1789,ga.uscongress.upperdistrict.1789,ga.uscongress.upperdistrict.1789.xml,FALSE,NA
GA,1791,ga.uscongress.MiddleDistrict.1791,ga.uscongress.MiddleDistrict.1791.xml,FALSE,NA
GA,1791,ga.uscongress.NorthernDistrict.1791,ga.uscongress.NorthernDistrict.1791.xml,FALSE,NA
GA,1791,ga.uscongress.SouthernDistrict.1791,ga.uscongress.SouthernDistrict.1791.xml,FALSE,NA
GA,1792,ga.uscongress.1792,ga.uscongress.1792.xml,FALSE,NA
GA,1792,ga.uscongress.special.1792,ga.uscongress.special.1792.xml,TRUE,NA
GA,1795,ga.uscongress.1795,ga.uscongress.1795.xml,FALSE,NA
GA,1796,ga.uscongress.1796,ga.uscongress.1796.xml,FALSE,NA
GA,1798,ga.uscongress.1798,ga.uscongress.1798.xml,FALSE,NA
GA,1800,ga.uscongress.1800,ga.uscongress.1800.xml,FALSE,NA
GA,1801,ga.uscongress.1801,ga.uscongress.1801.xml,FALSE,NA
GA,1802,ga.specialuscongress1.1802,ga.specialuscongress1.1802.xml,TRUE,1
GA,1802,ga.specialuscongress2.1802,ga.specialuscongress2.1802.xml,TRUE,2
GA,1802,ga.uscongress.1802,ga.uscongress.1802.xml,FALSE,NA
GA,1803,ga.uscongress.1803,ga.uscongress.1803.xml,FALSE,NA
