nnv_id,county,election_office,state,congress,district,year,election_type
de.uscongress.1789,Kent,U.S. House of Representatives,DE,1,NA,1789,general
de.uscongress.1789,New Castle,U.S. House of Representatives,DE,1,NA,1789,general
de.uscongress.1789,Sussex,U.S. House of Representatives,DE,1,NA,1789,general
ga.uscongress.lowerdistrict.1789,Burke,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.lowerdistrict.1789,Camden,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.lowerdistrict.1789,Chatham,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.lowerdistrict.1789,Effingham,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.lowerdistrict.1789,Glynn,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.lowerdistrict.1789,Greene,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.lowerdistrict.1789,Liberty,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.lowerdistrict.1789,Richmond,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.lowerdistrict.1789,Washington,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.lowerdistrict.1789,Wilkes,U.S. House of Representatives,GA,1,1,1789,general
ga.uscongress.middledistrict.1789,Burke,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.middledistrict.1789,Camden,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.middledistrict.1789,Chatham,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.middledistrict.1789,Effingham,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.middledistrict.1789,Glynn,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.middledistrict.1789,Greene,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.middledistrict.1789,Liberty,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.middledistrict.1789,Richmond,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.middledistrict.1789,Washington,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.middledistrict.1789,Wilkes,U.S. House of Representatives,GA,1,2,1789,general
ga.uscongress.upperdistrict.1789,Burke,U.S. House of Representatives,GA,1,3,1789,general
ga.uscongress.upperdistrict.1789,Camden,U.S. House of Representatives,GA,1,3,1789,general
ga.uscongress.upperdistrict.1789,Chatham,U.S. House of Representatives,GA,1,3,1789,general
ga.uscongress.upperdistrict.1789,Effingham,U.S. House of Representatives,GA,1,3,1789,general
ga.uscongress.upperdistrict.1789,Glynn,U.S. House of Representatives,GA,1,3,1789,general
ga.uscongress.upperdistrict.1789,Greene,U.S. House of Representatives,GA,1,3,1789,general
ga.uscongress.upperdistrict.1789,Liberty,U.S. House of Representatives,GA,1,3,1789,general
ga.uscongress.upperdistrict.1789,Richmond,U.S. House of Representatives,GA,1,3,1789,general
ga.uscongress.upperdistrict.1789,Washington,U.S. House of Representatives,GA,1,3,1789,general
