town,state,city_state,lat,lon,administrative_area_level_3,administrative_area_level_2,administrative_area_level_1,checked
Adams,New York,"Adams, New York",43.8092321,-76.0240892,Adams,Jefferson County,New York,TRUE
Addison,New York,"Addison, New York",42.1028514,-77.2335879,Addison,Steuben County,New York,TRUE
Amenia,New York,"Amenia, New York",41.8492599,-73.5567918,Amenia,Dutchess County,New York,TRUE
Angelica,New York,"Angelica, New York",42.3067345,-78.0158388,Angelica,Allegany County,New York,TRUE
Antwerp,New York,"Antwerp, New York",44.1992272,-75.6068791,Antwerp,Jefferson County,New York,TRUE
Arguyle,New York,"Arguyle, New York",43.2378519,-73.4915018,Argyle,Washington County,New York,TRUE
Argyle,New York,"Argyle, New York",43.2378519,-73.4915018,Argyle,Washington County,New York,TRUE
Armenia,New York,"Armenia, New York",41.7457578,-76.860565,Armenia Township,Bradford County,Pennsylvania,TRUE
Arminia,New York,"Arminia, New York",41.7457578,-76.860565,Armenia Township,Bradford County,Pennsylvania,TRUE
Athens,New York,"Athens, New York",42.2603648,-73.8095707,Athens,Greene County,New York,TRUE
Augusta,New York,"Augusta, New York",42.9747916,-75.5012871,Augusta,Oneida County,New York,TRUE
Aurelius,New York,"Aurelius, New York",42.9188489,-76.7105632,Aurelius,Cayuga County,New York,TRUE
Aureluis,New York,"Aureluis, New York",42.9188489,-76.7105632,Aurelius,Cayuga County,New York,TRUE
Baelstown,New York,"Baelstown, New York",42.9644625738713,-73.8693237304688,NA,NA,New York,TRUE
Ballston,New York,"Ballston, New York",42.9653961,-73.8654295,NA,Saratoga County,New York,TRUE
Ballstown,New York,"Ballstown, New York",42.9653961,-73.8654295,NA,Saratoga County,New York,TRUE
Bangor,New York,"Bangor, New York",44.8122731,-74.3973963,Bangor,Franklin County,New York,TRUE
Barkman Town,New York,"Barkman Town, New York",44.7711117553126,-73.4925270080566,NA,NA,New York,TRUE
Beckman,New York,"Beckman, New York",41.6154423246811,-73.7076187133789,Westfield,Chautauqua County,New York,TRUE
Beckmantown,New York,"Beckmantown, New York",44.7708742,-73.4920802,Beekmantown,Clinton County,New York,TRUE
Bedford,New York,"Bedford, New York",41.204262,-73.6437397,Bedford,Westchester County,New York,TRUE
Beekman,New York,"Beekman, New York",41.6109269,-73.7129076,Beekman,Dutchess County,New York,TRUE
Beekmantown,New York,"Beekmantown, New York",44.7708742,-73.4920802,Beekmantown,Clinton County,New York,TRUE
Bengal,New York,"Bengal, New York",43.26620632572599,-75.75553894042969,NA,Monroe County,New York,TRUE
Berkshire,New York,"Berkshire, New York",42.3042402,-76.1865964,Berkshire,Tioga County,New York,TRUE
Berlin,New York,"Berlin, New York",42.6931351,-73.3720549,Berlin,Rensselaer County,New York,TRUE
Bern,New York,"Bern, New York",42.6253546,-74.1334647,Berne,Albany County,New York,TRUE
Berne,New York,"Berne, New York",42.6253546,-74.1334647,Berne,Albany County,New York,TRUE
Bethel,New York,"Bethel, New York",41.6837659,-74.8719284,Bethel,Sullivan County,New York,TRUE
Bethleham,New York,"Bethleham, New York",42.5778541,-73.8183804,Bethlehem,Albany County,New York,TRUE
Bethlehem,New York,"Bethlehem, New York",42.5778541,-73.8183804,Bethlehem,Albany County,New York,TRUE
Blenheim,New York,"Blenheim, New York",42.4794352,-74.4760088,Blenheim,Schoharie County,New York,TRUE
Bloomfield,New York,"Bloomfield, New York",42.8972624,-77.4214278,East Bloomfield,Ontario County,New York,TRUE
Blooming Grove,New York,"Blooming Grove, New York",41.4227446,-74.2047875,Blooming Grove,Orange County,New York,TRUE
Bloomingrove,New York,"Bloomingrove, New York",41.3673856,-74.1768412,Blooming Grove,Orange County,New York,TRUE
Bolton,New York,"Bolton, New York",43.5788608,-73.6771662,Bolton,Warren County,New York,TRUE
Boonville,New York,"Boonville, New York",43.4836801,-75.3365607,Boonville,Oneida County,New York,TRUE
Bridgewater,New York,"Bridgewater, New York",42.8792376,-75.2509971,Bridgewater,Oneida County,New York,TRUE
Bristol,New York,"Bristol, New York",42.8453424,-77.424156,Bristol,Ontario County,New York,TRUE
Briston,New York,"Briston, New York",42.8453424,-77.424156,Bristol,Ontario County,New York,TRUE
Broadalban,New York,"Broadalban, New York",43.0586846,-74.1965206,Broadalbin,Fulton County,New York,TRUE
Broadalbin,New York,"Broadalbin, New York",43.0586846,-74.1965206,Broadalbin,Fulton County,New York,TRUE
Broadalkin,New York,"Broadalkin, New York",43.0586846,-74.1965206,Broadalbin,Fulton County,New York,TRUE
Brook Haven,New York,"Brook Haven, New York",40.7792653,-72.9153827,Brookhaven,Suffolk County,New York,TRUE
Brookfield,New York,"Brookfield, New York",42.8128488,-75.3176677,Brookfield,Madison County,New York,TRUE
Brookhaven,New York,"Brookhaven, New York",40.7792653,-72.9153827,Brookhaven,Suffolk County,New York,TRUE
Broome,New York,"Broome, New York",42.1791865,-75.8533954,NA,Broome County,New York,TRUE
Brownsville,New York,"Brownsville, New York",44.00442215963282,-75.9817886352539,NA,Kings County,New York,TRUE
Brownville,New York,"Brownville, New York",44.0070026,-75.9840923,Brownville,Jefferson County,New York,TRUE
Brunswick,New York,"Brunswick, New York",42.7359115,-73.5615043,Brunswick,Rensselaer County,New York,TRUE
Brutus,New York,"Brutus, New York",43.0484434593862,-76.5376281738281,Brutus,Cayuga County,New York,TRUE
Burlingnton,New York,"Burlingnton, New York",42.7228512,-75.1254387,Burlington,Otsego County,New York,TRUE
Burlington,New York,"Burlington, New York",42.7228512,-75.1254387,Burlington,Otsego County,New York,TRUE
Bushwick,New York,"Bushwick, New York",40.6944282,-73.9212858,NA,Kings County,New York,TRUE
Bushwyck,New York,"Bushwyck, New York",40.6944282,-73.9212858,NA,Kings County,New York,TRUE
Buthwick,New York,"Buthwick, New York",40.6944282,-73.9212858,NA,Kings County,New York,TRUE
Butternut,New York,"Butternut, New York",42.377228,-75.30685,NA,Otsego County,New York,TRUE
Butternuts,New York,"Butternuts, New York",42.4773619,-75.3178952,Butternuts,Otsego County,New York,TRUE
Cairo,New York,"Cairo, New York",42.2989749,-73.9984659,Cairo,Greene County,New York,TRUE
Caledonia,New York,"Caledonia, New York",42.9731175,-77.852785,Caledonia,Livingston County,New York,TRUE
Cambria,New York,"Cambria, New York",43.1848992,-78.8156113,Cambria,Niagara County,New York,TRUE
Cambridge,New York,"Cambridge, New York",43.0281329,-73.3812231,NA,Washington County,New York,TRUE
Camden,New York,"Camden, New York",43.3345138,-75.747964,Camden,Oneida County,New York,TRUE
Camilius,New York,"Camilius, New York",43.039233,-76.3040965,Camillus,Onondaga County,New York,TRUE
Camillus,New York,"Camillus, New York",43.039233,-76.3040965,Camillus,Onondaga County,New York,TRUE
Camp,New York,"Camp, New York",42.13311278044984,-73.8775634765625,Lower Allen Township,Cumberland County,Pennsylvania,TRUE
Canaan,New York,"Canaan, New York",42.4116592,-73.447175,Canaan,Columbia County,New York,TRUE
Canadaque,New York,"Canadaque, New York",42.887535,-77.2816984,NA,Ontario County,New York,TRUE
Canaedea,New York,"Canaedea, New York",42.3864542,-78.1536209,Caneadea,Allegany County,New York,TRUE
Canaedes,New York,"Canaedes, New York",42.3869514405249,-78.1430053710938,NA,NA,New York,TRUE
Canajoharie,New York,"Canajoharie, New York",42.9056288,-74.5718073,Canajoharie,Montgomery County,New York,TRUE
Canajoharry,New York,"Canajoharry, New York",42.9056288,-74.5718073,Canajoharie,Montgomery County,New York,TRUE
Canajohary,New York,"Canajohary, New York",42.9056288,-74.5718073,Canajoharie,Montgomery County,New York,TRUE
Canandarqua,New York,"Canandarqua, New York",42.887535,-77.2816984,NA,Ontario County,New York,TRUE
Canesteo,New York,"Canesteo, New York",42.2703487,-77.6058225,Canisteo,Steuben County,New York,TRUE
Canisteo,New York,"Canisteo, New York",42.2703487,-77.6058225,Canisteo,Steuben County,New York,TRUE
Cannajoharie,New York,"Cannajoharie, New York",42.9056288,-74.5718073,Canajoharie,Montgomery County,New York,TRUE
Canojoharie,New York,"Canojoharie, New York",42.9056288,-74.5718073,Canajoharie,Montgomery County,New York,TRUE
Canojohary,New York,"Canojohary, New York",42.9056288,-74.5718073,Canajoharie,Montgomery County,New York,TRUE
Carlisle,New York,"Carlisle, New York",42.7570191,-74.4456909,Carlisle,Schoharie County,New York,TRUE
Carmel,New York,"Carmel, New York",41.4300937,-73.6801297,Carmel,Putnam County,New York,TRUE
Casanova,New York,"Casanova, New York",42.92626291864936,-75.8551025390625,NA,Bronx County,New York,TRUE
Cassinovia,New York,"Cassinovia, New York",42.9300668,-75.8526915,Cazenovia,Madison County,New York,TRUE
Castle Town,New York,"Castle Town, New York",40.61773133445856,-74.104156494140625,Vernon,Oneida County,New York,TRUE
Castleton,New York,"Castleton, New York",40.617079816381285,-74.104156494140625,NA,Rutland County,Vermont,TRUE
Castletown,New York,"Castletown, New York",40.617079816381285,-74.10346984863281,New Castle,Westchester County,New York,TRUE
Catharine's Town,New York,"Catharine's Town, New York",42.312852,-76.7846764,Catharine,Schuyler County,New York,TRUE
Catharines,New York,"Catharines, New York",42.312852,-76.7846764,Catharine,Schuyler County,New York,TRUE
Catherine,New York,"Catherine, New York",42.31997030030749,-76.784820556640625,NA,New York County,New York,TRUE
Catherines,New York,"Catherines, New York",42.33621470741859,-76.783447265625,NA,New York County,New York,TRUE
