town,county,issue,town_grouping,name_change,source,me_town_id,,
Augusta,Oneida,distinct town,Augusta_A,,,ME-NY0012,,
Augusta,Ontario and Gennessee,distinct town,Augusta_B,Name Change 1808 to Middlesex,Vasiliev,ME-NY0518,,
Augusta,Ontario,distinct town,Augusta_B,Name Change 1808 to Middlesex,Vasiliev,ME-NY0518,,
Bristol,Ontario,distinct town,Bristol_A,,,ME-NY0034,,
Bristol,Ontario and Genessee,distinct town,Bristol_A,,,ME-NY0034,,
Bristol,Schoharie,distinct town,Bristol_B,Name Change 1811 to Broome,Vasiliev,ME-NY0039,,
Bristol,N/A,distinct town,Bristol_B,Name Change 1811 to Broome,Vasiliev,ME-NY0039,,
Briston,Schoharie,spelling error/distinct town,Bristol_B,Name Change 1811 to Broome,Vasiliev,ME-NY0039,,
Canton,Greene,distinct town,Canton_A,Name Change 1808 to Cairo,Vasiliev,ME-NY0048,,
Canton,N/A,distinct town,Canton_A,Name Change 1808 to Cairo,Vasiliev,ME-NY0048,,
Canton,St. Lawrence,distinct town,Canton_B,,,ME-NY0060,,
Charleston,Montgomery,distinct town,Charleston_A,,,ME-NY0071,,
Charleston,N/A,distinct town,Charleston_A,,,ME-NY0071,,
Charlestown,Montgomery,spelling error/distinct town,Charleston_A,,,ME-NY0071,,
Charlston,Montgomery,spelling error/distinct town,Charleston_A,,,ME-NY0071,,
Charleston,Ontario,distinct town,Charleston_B,Name Change 1808 to Lima,Vasiliev,ME-NY0519,,
Charlestown,Ontario,spelling error/distinct town,Charleston_B,Name Change 1808 to Lima,Vasiliev,ME-NY0519,,
Charlestown,Ontario and Genessee,spelling error/distinct town,Charleston_B,Name Change 1808 to Lima,Vasiliev,ME-NY0519,,
Charlestown,Rockland,spelling error/distinct town,Clarkstown,,No Charlestown in GNIS for Rockland; Clarkstown missing the years that this observation contains,ME-NY0087,,
Dansville,Stueben,distinct town,Dansville_A,,GNIS,ME-NY0110,,
Danville,Steuben,spelling error/distinct town,Dansville_A,,GNIS,ME-NY0110,,
Danville,Essex,spelling error/distinct town,Dansville_B,Name Change 1822 to Wilmington,Vasiliev,ME-NY0508,,
Easton,E. Albany,distinct town,Easton_A,,AHCB,ME-NY0124,,
Easton,Washington,distinct town,Easton_A,,Vasiliev,ME-NY0124,,
Eastown,Albany,spelling error/distinct town,Easton_A,,Vasiliev,ME-NY0124,,
Eaton,Washington,spelling error/distinct town,Easton_A,,Vasiliev,ME-NY0124,,
Easton,Ontario,distinct town,Easton_B,"Name Change 1806 to Lincoln, 1807 to Gorham",Vasiliev,ME-NY0520,,
Easton,Ontario and Genessee,distinct town,Easton_B,"Name Change 1806 to Lincoln, 1807 to Gorham",Vasiliev,ME-NY0520,,
Eastown,Ontario,spelling error/distinct town,Easton_B,"Name Change 1806 to Lincoln, 1807 to Gorham",Vasiliev,ME-NY0520,,
Eaton,Madison,distinct town,Eaton,,,ME-NY0521,,
Fairfield,Herkimer,distinct town,Fairfield_A,,,ME-NY0135,,
Fairfield,Washington,distinct town,Fairfield_B,Name Change 1808 to Luzerne,County History,ME-NY0522,,
Franklin,Delaware,distinct town,Franklin_A,,AHCB and County History,ME-NY0148,,
Franklin,Ostego,distinct town,Franklin_A,,AHCB and County History,ME-NY0148,,
