nnv_town,standardized_town,notes,source
Amesterdam,Amsterdam,,
Arguyle,Argyle,,
Armenia,Amenia,,
Arminia,Amenia,,
Aureluis,Aurelius,,
Baelstown,Ballston,,
Ballstown,Ballston,,
Barkman Town,Beekman,Dutchess county - thus Beekman,County Comparison/County History
Beckman,Beekman,Dutchess county - thus Beekman,County Comparison/County History
Beckmantown,Beekmantown,Clinton county - thus Beekmantown,County Comparison/County History
Beekmantown,Beekman,All Beekmantown observations in NNV are listed for Dutchess county - which is where Beekman is located,County Comparison/County History
Bengal,Vienna,"Name Change 1808 to Orange, 1816 to Vienna",County History
Bern,Berne,Spelling change 1825 to Berne,Vasiliev
Bethleham,Bethlehem,,
Bloomingrove,Blooming Grove,,
Briston,Bristol,,
Broudalban,Broudalbin,,
Broudalkin,Broudalbin,,
Brook Haven,Brookhaven,,
Brownsville,Brownville,,
Burlingnton,Burlington,,
Bushwyck,Bushwick,,
Buthwick,Bushwick,,
Butternut,Butternuts,,
Camilius,Camillus,,
Camp,Germantown,Difference between local dataset and tufts NNV database (no Camp on tufts but a Germantown - matching voting records),
Canadaigua,Canandaigua,,
Canadaque,Canandaigua,,
Canaedea,Caneadea,,
Canaedes,Caneadea,,
Canajoharry,Canajoharie,,
Canajohary,Canajoharie,,
Canandaiqua,Canandaigua,,
Canandarqua,Canadaque,,
Canesteo,Canisteo,,
Cannajoharie,Canajoharie,,
Canojoharie,Canajoharie,,
Canojohary,Canajoharie,,
Casanova,Cazenovia,,
Casenovia,Cazenovia,,
Cassinovia,Cazenovia,,
Castle Town,Castleton,,
Castletown,Castleton,,
Catham,Chatham,,
Catharine's Town,Catharine,,
Catharines,Catharine,,
Catherine,Catharine,,
Catherines,Catharine,,
Catts-Kill,Catskill,,
Cattskill,Catskill,,
Cazanovia,Cazenovia,,
Cazenova,Cazenovia,,
Chaarleton,Charlton,,
Champien,Champion,,
Champlaign,Champlain,,
Champlin,Champlain,,
Charlestown,Charleston,,
Charleton,Charlton,,
Charlston,Charleston,,
Charlstown,Charlton,,
Chateagay,Chateaugay,,
Chateauguay,Chateaugay,,
Chattaguay,Chateaugay,,
Chattagua,Chateaugay,,
Chautaugue,Chautauqua,,
Cheesecocks,Monroe,"Name Change 1801 to Southfield, 1808 to Monroe",County History
Chemong,Chemung,,
Chemungo,Chemung,,
Cheningo,Chenango,,
Chile,Chili,,
Clark's Town,Clarkstown,,
Clarkestown,Clarkstown,,
Clarks Town,Clarkstown,,
Clavarack,Claverack,,
Claverick,Claverack,,
Claremont,Clermont,,
Clerko Town,Clarkstown,,
Cllinton,Clinton,,
Cobelskill,Cobleskill,,
Coblekill,Cobleskill,,
Cobus Kill,Cobleskill,,
Cocksakie,Coxsackie,,
Cocsacke,Coxsackie,,
Conajoharie,Canajoharie,,
Conhocton,Cohocton,,
Cooksackie,Coxsackie,,
Cortlandt Town,Cortlandt,,
Coxackie,Coxsackie,,
Coxakie,Coxsackie,,
Crown-Point,Crown Point,,
Crownpoint,Crown Point,,
De Ruyter,DeRuyter,,
Deer Park,Deerpark,,
DeKalb,De Kalb,,
Dernyter,DeRuyter,,
Deruyter,DeRuyter,,
Dickenson,Dickinson,,
Dorlach,Sharon,Name Change 1797 to Sharon,County History
Dorlack,Sharon,Name Change 1797 to Sharon,County History
Dorloch,Sharon,Name Change 1797 to Sharon,County History
Duanesborough,Duanesburg,,
Duanesburgh,Duanesburg,,
Dunesburgh,Duanesburg,,
Durloch,Sharon,Name Change 1797 to Sharon,County History
East Chester,Eastchester,,
East-Chester,Eastchester,,
East-Hampton,East Hampton,,
Eastampton,East Hampton,,
Easthampton,East Hampton,,
Easthamton,East Hampton,,
Eastown,Easton,,
Eaton,Easton,,
Edinburgh,Edinburg,,
Edon,Eden,,
Elizabeth-Town,Elizabethtown,,
Ellisburgh,Ellisburg,,
Fabuis,Fabius,,
Flat Lands,Flatlands,,
Flat-lands,Flatlands,,
Flatland,Flatlands,,
Frankford,Frankfort,,
Freehold,Greenville,"Name Change1808 to Freehold, 1809 to Greenville","Vasiliev, From Abbotts to Zurich"
Frederickstown,Wayne,Name Change 1808 to Wayne,
Galloway,Galway,,
Gallway,Galway,,
Galoway,Galway,,
Genesco,Geneseo,,
Genesee,Geneseo,,
Genesoe,Geneseo,,
Ger. Flatts,German Flatts,,
German Flats,German Flatts,,
German-Flatts,German Flatts,,
German Town,Germantown,,
Germanflatts,German Flatts,,
Grandville,Granville,,
Granger,Taghkanic,Name Change 1814 to Taghkanic,GNIS
Graves End,Gravesend,,
Green,Greene,,
Greenbush,Rensselaer,Name Change to Rensselaer,"Vasiliev, From Abbotts to Zurich"
Greeneland,Hunter,Spelling Error/Name Change 1814 to Hunter,GNIS
Greenland,Hunter,Name Change 1814 to Hunter,GNIS
Greensburgh,Greenburgh,,
Greeneville,Greenville,,
Greensville,Greenville,,
Guelderland,Guilderland,,
Half Moon,Halfmoon,,
Halfmoom,Halfmoon,,
Hamburgh,Hamburg,,
Hanibal,Hannibal,,
Hamson,Harrison,"Harrison, Westchester is missing 1806 data - Hamson is only 1806 data",
Hartord,Hartford,,
Harperfield,Harpersfield,,
Harpers Field,Harpersfield,,
Harrisburgh,Harrisburg,,
Harverstraw,Haverstraw,,
haverstraw,Haverstraw,,
Harwick,Hartwick,,
Hempsted,Hempstead,,
Herkemer,Herkimer,,
Hoosack,Hoosick,,
Hosack,Hoosick,,
Hosick,Hoosick,,
Hosicoke,Hoosick,,
Houndsfield,Hounsfield,,
Hudson City,Hudson,,
Huley,Hurley,,
Huntingdon,Huntington,,
Hurly,Hurley,,
Jerico,Jericho,,
Jersey,Orange,Name Change 1836 to Orange,County History
Juneus,Junius,,
Keen,Keene,,
Kingsberry,Kingsbury,,
Kingsburg,Kingsbury,,
Kingbury,Kingsbury,,
Korthright,Kortright,,
Kortwright,Kortright,,
Lansingburgh,Lansingburg,,
Le Raye,Le Ray,,
Le Roy,Le Ray,,
LeRay,Le Ray,,
LeRoy,Le Ray,,
Leslie,Lisle,,
Lide,Lisle,,
Litcfield,Litchfield,,
Livinston,Livingston,,
Lorain,Lorraine,,
Loraine,Lorraine,,
Lyden,Leyden,,
Lysanders,Lysander,,
Mamacating,Mamakating,,
Mamacatting,Mamakating,,
Mamacotton,Mamakating,,
Mammacating,Mamakating,,
Mammakating,Mamakating,,
Mammaraneck,Mamaroneck,,
Mamoreoneeck,Mamaroneck,,
Mamoroneck,Mamaroneck,,
Manacating,Mamakating,,
Mandan,Minden,,
Manilius,Manlius,,
Manilus,Manlius,,
Manluis,Manlius,,
Manor,Livingston Manor,,
Manor Livingston,Livingston Manor,,
Manor of Livingston,Livingston Manor,,
Manor Castletown,Castleton,Castleton was dissolved in 1898 upon the consolidation into the City of New York,
Maracellus,Marcellus,,
Marmacotting,Mamakating,,
Maronack,Mamaroneck,,
Martinsburgh,Martinsburg,,
Martz,Mentz,,
Mercellus,Marcellus,,
Mercillus,Marcellus,,
Middleburg,Middleburgh,,
Middlebury,Middleburgh,,
Middleton,Middletown,,
Milton,Genoa,Name Change 1808 to Genoa; this is also a duplicate (Milton in both Cayuga Co. and Saratoga Co.),
Mindon,Mendon,,
Mooers-Town,Mooers,,
Moores,Mooers,,
Moors Town,Mooers,,
Morissiania,Morrisania,,
Morrisannia,Morrisania,,
Mounth Pleasant,Mount Pleasant,,
Mt. Pleasant,Mount Pleasant,,
Munroe,Monroe,,
N. Baltimore,New Baltimore,,
N. Hempstead,North Hempstead,,
New  Utrecht,New Utrecht,New Utrecht was annexed into the City of Brooklyn July 1894,
New Cornwall,Cornwall,Name Change 1797 to Cornwall,
New Eutrecht,New Utrecht,New Utrecht was annexed into the City of Brooklyn July 1894,
New Hampstead,New Hempstead,,
New Hempsted,New Hempstead,,
New Marlborough,Marlborough,County history does not detail the date of name change but all evidence points to a name change,
New Platz,New Paltz,,
New Rochel,New Rochelle,,
New Rochell,New Rochelle,,
New Salem,North Salem,,
New-Paltz,New Paltz,,
New-Utrecht,New Utrecht,New Utrecht was annexed into the City of Brooklyn July 1894,
Niskeuna,Niskayuna,,
North Baltimore,New Baltimore,,
North Hempsted,North Hempstead,,
North Marlborough,Marlborough,,
North-Castle,North Castle,,
North-East,North East,,
North-Hempstead,North Hempstead,,
Northcastle,North Castle,,
Northeast,North East,,
Northeastown,North East,,
Northeast Town,North East,,
Orange Town,Orangetown,,
Ostego,Otsego,,
