town,corrected_town,state
Ashford,Ashford,Connecticut
Barkhamstead,Barkhamstead,Connecticut
Berlin,Berlin,Connecticut
Bethlehem,Bethlehem,Connecticut
Bolton,Bolton,Connecticut
Bozra,Bozra,Connecticut
Branford,Branford,Connecticut
Bridgeport,Bridgeport,Connecticut
Bristol,Bristol,Connecticut
Brookfield,Brookfield,Connecticut
Brooklyn,Brooklyn,Connecticut
Burlington,Burlington,Connecticut
Canaan,Canaan,Connecticut
Canterbury,Canterbury,Connecticut
Canton,Canton,Connecticut
Chatham,Chatham,Connecticut
Cheshire,Cheshire,Connecticut
Colbrook,Colebrook,Connecticut
Colchester,Colchester,Connecticut
Colebrook,Colebrook,Connecticut
Columbia,Columbia,Connecticut
Cornwall,Cornwall,Connecticut
Coventry,Coventry,Connecticut
Danbury,Danbury,Connecticut
Derby,Derby,Connecticut
Durham,Durham,Connecticut
East Haddam,East Haddam,Connecticut
East Hartford,East Hartford,Connecticut
East Haven,East Haven,Connecticut
East Windsor,East Windsor,Connecticut
Ellington,Ellington,Connecticut
Enfield,Enfield,Connecticut
Fairfield,Fairfield,Connecticut
Farmington,Farmington,Connecticut
Franklin,Franklin,Connecticut
Glastenbury,Glastenbury,Connecticut
Goshen,Goshen,Connecticut
Granby,Granby,Connecticut
Greenwich,Greenwich,Connecticut
Griswold,Griswold,Connecticut
Groton,Groton,Connecticut
Guilford,Guilford,Connecticut
Haddam,Haddam,Connecticut
Hamden,Hamden,Connecticut
Hampton,Hampton,Connecticut
Hartford,Hartford,Connecticut
Hartland,Hartland,Connecticut
Harwinton,Harwinton,Connecticut
Hebron,Hebron,Connecticut
Huntingdon,Huntington,Connecticut
Huntington,Huntington,Connecticut
Kent,Kent,Connecticut
Killingly,Killingly,Connecticut
Killingworth,Killingworth,Connecticut
Lebanon,Lebanon,Connecticut
Lisbon,Lisbon,Connecticut
Litchfield,Litchfield,Connecticut
Lyme,Lyme,Connecticut
Mansfield,Mansfield,Connecticut
Marlborough,Marlborough,Connecticut
Meriden,Meriden,Connecticut
Middlebury,Middlebury,Connecticut
Middletown,Middletown,Connecticut
Milford,Milford,Connecticut
Montville,Montville,Connecticut
New Canaan,New Canaan,Connecticut
New Fairfield,New Fairfield,Connecticut
New Hartford,New Hartford,Connecticut
New Haven,New Haven,Connecticut
New London,New London,Connecticut
New Milford,New Milford,Connecticut
Newtown,Newtown,Connecticut
Norfolk,Norfolk,Connecticut
North Haven,North Haven,Connecticut
North Stonington,North Stonington,Connecticut
Norwalk,Norwalk,Connecticut
Norwich,Norwich,Connecticut
Oxford,Oxford,Connecticut
Plainfield,Plainfield,Connecticut
Plymouth,Plymouth,Connecticut
Pomfret,Pomfret,Connecticut
Preston,Preston,Connecticut
Reading,Reading,Connecticut
Ridgefield,Ridgefield,Connecticut
Roxbury,Roxbury,Connecticut
Salisbury,Salisbury,Connecticut
Saybrook,Saybrook,Connecticut
Sharon,Sharon,Connecticut
Sherman,Sherman,Connecticut
Simsbury,Simsbury,Connecticut
Somers,Somers,Connecticut
Southbury,Southbury,Connecticut
Southington,Southington,Connecticut
Stafford,Stafford,Connecticut
Stamford,Stamford,Connecticut
Sterling,Sterling,Connecticut
Stonington,Stonington,Connecticut
Stratford,Stratford,Connecticut
Suffield,Suffield,Connecticut
Thompson,Thompson,Connecticut
Tolland,Tolland,Connecticut
Torrington,Torrington,Connecticut
Trumbull,Trumbull,Connecticut
Union,Union,Connecticut
Vernon,Vernon,Connecticut
Voluntown,Voluntown,Connecticut
Wallingford,Wallingford,Connecticut
Warren,Warren,Connecticut
Washington,Washington,Connecticut
Waterbury,Waterbury,Connecticut
Waterford,Waterford,Connecticut
Watertown,Watertown,Connecticut
Weston,Weston,Connecticut
Wethersfield,Wethersfield,Connecticut
Willington,Willington,Connecticut
Wilton,Wilton,Connecticut
Winchester,Winchester,Connecticut
Windham,Windham,Connecticut
Windsor,Windsor,Connecticut
Wolcott,Wolcott,Connecticut
Woodbridge,Woodbridge,Connecticut
Woodbury,Woodbury,Connecticut
Woodstock,Woodstock,Connecticut
