nnv_town,standardized_town,notes,source
Acton,Townshend,Annexed to Townshend in 1840,"Zadock Thompson, History of Vermont"
Billymead,Sutton,Name Change: Oct. 1812 to Sutton,"Zadock Thompson, History of Vermont"
Brattleborough,Brattleboro,misspelling,
Browington,Brownington,misspelling,
Brumley,Peru,misspelling; Name Change: Feb. 1804,"Zadock Thompson, History of Vermont"
Chittendon,Chittenden,misspelling,
Claredon,Clarendon,misspelling,
Duncansboro,Newport,misspelling; Name Change:Oct. 1816,"Zadock Thompson, History of Vermont"
Duncansborough,Newport,Name Change: Oct. 1816,"Zadock Thompson, History of Vermont"
Enosburg,Enosburgh,misspelling,
Fair Haven,Fairhaven,misspelling,
Ferrisburg,Ferrisburgh,misspelling,
Grande Isle,Grand Isle,misspelling,
Greensborough,Greensboro,misspelling,
Grover,Glover,misspelling,
Guildford,Guilford,misspelling,
Hardwicke,Hardwick,misspelling,
Harwich,Mount Tabor,Name Change: 1803,Vermont Legislative Directory
Hinesburgh,Hinesburg,misspelling,
Hinsdale,Vernon,Name Change: Oct. 1802,"Zadock Thompson, History of Vermont"
Hubbarton,Hubbardton,misspelling,
Hungerford,Sheldon,Name Change: Nov. 1792,"Zadock Thompson, History of Vermont"
Huntingdon,Huntington,misspelling,
Huntsburgh,Franklin,Name Change: Oct. 1817,"Zadock Thompson, History of Vermont"
Hydepark,Hyde Park,misspelling,
Irasburgh,Irasburg,misspelling,
Isle Motte,Vineyard,Name Change: Nov. 1802,"Zadock Thompson, History of Vermont"
Isle of Motte,Vineyard,Name Change: Nov. 1802,"Zadock Thompson, History of Vermont"
Jamica,Jamaica,misspelling,
Johnston,Johnson,misspelling,
Kellyvale,Lowell,Name Change: 1831,Vermont Legislative Directory
Sherburne,Killington,Name Change: Mar. 1999,Vermont Legislation H.550
Kingston,Granville,Name Change: 1834,Vermont Legislative Directory
Londonberry,Londonderry,misspelling,
Lunenburgh,Lunenburg,misspelling,
Lutterloh,Albany,Name Change: Oct. 1815,"Zadock Thompson, History of Vermont"
Middle Hero,Grand Isle,Name Change: Nov. 1810,"Zadock Thompson, History of Vermont"
Middleton,Middletown Springs,misspelling; Name Change: 1884,Vermont Legislative Directory
Middletown,Middletown Springs,Name Change: 1884,Vermont Legislative Directory
Minehead,Bloomfield,Name Change: 1830,Vermont Legislative Directory
Mountholly,Mount Holly,misspelling,
Mounttabor,Mount Tabor,misspelling,
Navy,Charleston,Name Change: Nov. 1825,"Zadock Thompson, History of Vermont"
New Fane,Newfane,misspelling,
Newhaven,New Haven,misspelling,
New Huntington,Huntington,Name Change: Oct. 1795,"Zadock Thompson, History of Vermont"
Parkerston,Mendon,misspelling; Name Change: Nov. 1827,"Zadock Thompson, History of Vermont"
Parkerstown,Mendon,Name Change: Nov. 1827,"Zadock Thompson, History of Vermont"
Pawlett,Pawlet,misspelling,
Piitsfield,Pittsfield,misspelling,
Readsborough,Readsboro,misspelling,
Reedsborough,Readsboro,misspelling,
Reupert,Rupert,misspelling,
Royalston,Royalton,misspelling,
Shelbourne,Shelburne,misspelling,
Shelburn,Shelburne,misspelling,
Stanford,Stamford,misspelling,
Starksborough,Starksboro,misspelling,
Stow,Stowe,misspelling,
Tenmouth,Tinmouth,misspelling,
Topshaw,Topsham,misspelling,
Townsend,Townshend,misspelling,
Turnbridge,Tunbridge,misspelling,
Vineyard,Isle la Motte,Name Change: 1802,Vermont Legislative Directory
Wardsborough,Wardsboro,misspelling,
Welles,Wells,misspelling,
Wellford,Westford,misspelling,
Westhaven,West Haven,misspelling,
