nnv_county,ahcb_county,notes
Adams,ADAMS,
Ashtabula,ASHTABULA,
Athens,ATHENS,
Belmont,BELMONT,
Brown,BROWN,
Butler,BUTLER,
Champaign,CHAMPAIGN,
Clark,CLARK,
Clermont,CLERMONT,
Clinton,CLINTON,
Columbiana,COLUMBIANA,
Coshocton,COSHOCTON,
Crawford,CRAWFORD,
Cuyahoga,CUYAHOGA,
Darke,DARKE,
Delaware,DELAWARE,
Fairfield,FAIRFIELD,
Fayette,FAYETTE,
Franklin,FRANKLIN,
Gallia,GALLIA,
Geauga,GEAUGA,
Greene,GREENE,
Guernsey,GUERNSEY,
Hamilton,HAMILTON,
Harrison,HARRISON,
Highland,HIGHLAND,
Hocking,HOCKING,
Holmes,HOLMES,
Huron,HURON,
Jackson,JACKSON,
Jefferson,JEFFERSON,
Knox,KNOX,
Lawrence,LAWRENCE,
Licking,LICKING,
Logan,LOGAN,
Lorain,LORAIN,
Madison,MADISON,
Marion,MARION,
Medina,MEDINA,
Meigs,MEIGS,
Mercer,MERCER,
Miami,MIAMI,
Monroe,MONROE,
Montgomery,MONTGOMERY,
Morgan,MORGAN,
Muskingum,MUSKINGUM,
Sandusky and Seneca,,data anomaly: distinct counties in ahcb
Perry,PERRY,
Pickaway,PICKAWAY,
Pike,PIKE,
Portage,PORTAGE,
Preble,PREBLE,
Richland,RICHLAND,
Ross,ROSS,
Sandusky,SANDUSKY,
Scioto,SCIOTO,
Seneca,SENECA,
Shelby,SHELBY,
Stark,STARK,
Trumbull,TRUMBULL,
Tuscarawas,TUSCARAWAS,
Union,UNION,
Warren,WARREN,
Washington,WASHINGTON,
Wayne,WAYNE,
Williams,WILLIAMS,
Wood,WOOD,
